Data,Dividendo
2010-05-03 00:00:00-04:00,0.0104
2011-04-29 00:00:00-04:00,0.0142
2012-05-16 00:00:00-04:00,0.0194
2013-05-16 00:00:00-04:00,0.0258
2014-05-14 00:00:00-04:00,0.0062
2015-05-13 00:00:00-04:00,0.046
2016-05-18 00:00:00-04:00,0.061
2017-05-17 00:00:00-04:00,0.079
2018-05-17 00:00:00-04:00,0.112
2018-12-28 00:00:00-05:00,0.003
2019-05-16 00:00:00-04:00,0.127
2020-05-14 00:00:00-04:00,0.155
2021-05-21 00:00:00-04:00,0.206
2022-01-19 00:00:00-05:00,1.34
2022-05-19 00:00:00-04:00,0.205
2023-01-04 00:00:00-05:00,2.264
2023-05-18 00:00:00-04:00,0.306
2024-05-17 00:00:00-04:00,0.434
2025-05-19 00:00:00-04:00,0.573
